Wavelength(nm),T%
3000,0.018256631
2999,0.021048931
2998,0.018541299
2997,0.018872181
2996,0.019622697
2995,0.019191647
2994,0.018489832
2993,0.017820014
2992,0.018347232
2991,0.015727229
2990,0.017513052
2989,0.016423963
2988,0.014547292
2987,0.013593906
2986,0.016179405
2985,0.016271412
2984,0.020251617
2983,0.018012486
2982,0.016611675
2981,0.014486657
2980,0.016560778
2979,0.015709016
2978,0.018344132
2977,0.014745079
2976,0.017189698
2975,0.016788816
2974,0.018082589
2973,0.015337314
2972,0.018127756
2971,0.015856702
2970,0.018669132
2969,0.016070351
2968,0.016249884
2967,0.014546496
2966,0.014077069
2965,0.014212958
2964,0.014682761
2963,0.014086797
2962,0.016756658
2961,0.014097482
2960,0.015331921
2959,0.015684567
2958,0.014439949
2957,0.013708336
2956,0.013412677
2955,0.012147184
2954,0.014708618
2953,0.011816502
2952,0.014251562
2951,0.014158021
2950,0.014721877
2949,0.013091433
2948,0.013792124
2947,0.012820926
2946,0.012353383
2945,0.012954433
2944,0.011307374
2943,0.013092787
2942,0.011517606
2941,0.012152447
2940,0.011802844
2939,0.011710314
2938,0.0120912
2937,0.010674559
2936,0.0111809
2935,0.011447057
2934,0.011751415
2933,0.011782907
2932,0.010912078
2931,0.011258768
2930,0.010913475
2929,0.010848448
2928,0.013105716
2927,0.010961119
2926,0.010482813
2925,0.010192909
2924,0.013229007
2923,0.01225764
2922,0.01168193
2921,0.010344037
2920,0.011543568
2919,0.011230253
2918,0.011034884
2917,0.011989078
2916,0.01097504
2915,0.009948128
2914,0.011555196
2913,0.01131011
2912,0.011226634
2911,0.012680687
2910,0.01130542
2909,0.010467689
2908,0.011299336
2907,0.011521164
2906,0.012435878
2905,0.010933253
2904,0.010209768
2903,0.010450666
2902,0.009834906
2901,0.011070389
2900,0.010319572
2899,0.009576797
2898,0.010697281
2897,0.011022183
2896,0.010784305
2895,0.011066984
2894,0.010137178
2893,0.010578164
2892,0.011827455
2891,0.010018213
2890,0.012724404
2889,0.012010304
2888,0.011179144
2887,0.010749503
2886,0.01067221
2885,0.009842308
2884,0.011554223
2883,0.010416759
2882,0.010686562
2881,0.009458005
2880,0.011114166
2879,0.010003944
2878,0.011167995
2877,0.010632521
2876,0.012091632
2875,0.012425701
2874,0.010977764
2873,0.011894845
2872,0.010544269
2871,0.010536532
2870,0.011147953
2869,0.010359126
2868,0.010585445
2867,0.01057563
2866,0.010617508
2865,0.011869417
2864,0.010272406
2863,0.012022544
2862,0.010311549
2861,0.011489237
2860,0.010560588
2859,0.010631688
2858,0.010714082
2857,0.011427062
2856,0.010997932
2855,0.010870299
2854,0.011037602
2853,0.010578419
2852,0.011282657
2851,0.010917518
2850,0.010689769
2849,0.011498327
2848,0.011985567
2847,0.010570228
2846,0.009403676
2845,0.010893426
2844,0.010593691
2843,0.011252557
2842,0.010569349
2841,0.008105952
2840,0.011008025
2839,0.009586432
2838,0.008908626
2837,0.010279809
2836,0.011339119
2835,0.009913588
2834,0.011137123
2833,0.011039384
2832,0.009156697
2831,0.010433178
2830,0.011069984
2829,0.008582045
2828,0.010982846
2827,0.009709895
2826,0.010837959
2825,0.009899841
2824,0.008354276
2823,0.009284958
2822,0.010076565
2821,0.010506654
2820,0.008867521
2819,0.009536629
2818,0.01015667
2817,0.009396144
2816,0.009945593
2815,0.009529634
2814,0.009215648
2813,0.011463072
2812,0.01061865
2811,0.00945196
2810,0.009250099
2809,0.00885525
2808,0.00947964
2807,0.008694546
2806,0.010715061
2805,0.010317802
2804,0.008968222
2803,0.007977737
2802,0.010315333
2801,0.009749189
2800,0.009657647
2799,0.009464229
2798,0.008760609
2797,0.009390662
2796,0.010449103
2795,0.0094171
2794,0.008755598
2793,0.009653214
2792,0.007760106
2791,0.008576885
2790,0.010240966
2789,0.008978065
2788,0.00907144
2787,0.00957194
2786,0.009163466
2785,0.011121841
2784,0.010349726
2783,0.009109741
2782,0.008829298
2781,0.011771718
2780,0.010276979
2779,0.009640411
2778,0.009930582
2777,0.011046186
2776,0.010324677
2775,0.009398137
2774,0.01003012
2773,0.010311864
2772,0.010812291
2771,0.008912846
2770,0.010190626
2769,0.009082243
2768,0.010807757
2767,0.009975869
2766,0.010887528
2765,0.00883206
2764,0.008387183
2763,0.010084006
2762,0.009539486
2761,0.009249446
2760,0.010160203
2759,0.008931449
2758,0.009132559
2757,0.008994942
2756,0.008901673
2755,0.0091932
2754,0.009175613
2753,0.010272557
2752,0.008824446
2751,0.009888205
2750,0.007889816
2749,0.009758213
2748,0.009095375
2747,0.008340056
2746,0.008461677
2745,0.009798751
2744,0.009454615
2743,0.009897387
2742,0.009792239
2741,0.008100687
2740,0.00961412
2739,0.010821564
2738,0.010382803
2737,0.009679479
2736,0.008720071
2735,0.010248492
2734,0.009063235
2733,0.008899478
2732,0.009841611
2731,0.008956259
2730,0.00913768
2729,0.008811561
2728,0.009125637
2727,0.009371438
2726,0.007604691
2725,0.008256932
2724,0.009277956
2723,0.009047638
2722,0.008321756
2721,0.008261331
2720,0.010952856
2719,0.009587089
2718,0.009805405
2717,0.008848937
2716,0.009111245
2715,0.009411511
2714,0.008470275
2713,0.008621745
2712,0.009723192
2711,0.009572222
2710,0.008428837
2709,0.008836221
2708,0.00769766
2707,0.008799171
2706,0.009841057
2705,0.008339576
2704,0.008819266
2703,0.010713581
2702,0.008964388
2701,0.01059032
2700,0.008648632
2699,0.010035906
2698,0.009731505
2697,0.009032451
2696,0.007579064
2695,0.00989888
2694,0.009674324
2693,0.008465802
2692,0.009916079
2691,0.009038263
2690,0.010677871
2689,0.009682988
2688,0.009148284
2687,0.009569939
2686,0.009402933
2685,0.010145409
2684,0.010802527
2683,0.010599913
2682,0.010232765
2681,0.009404209
2680,0.010143282
2679,0.010031854
2678,0.009880572
2677,0.008260174
2676,0.008749356
2675,0.011641853
2674,0.010415018
2673,0.011255792
2672,0.009657102
2671,0.010114291
2670,0.009854351
2669,0.009266629
2668,0.009567598
2667,0.010955906
2666,0.009833731
2665,0.00915853
2664,0.010837961
2663,0.010729126
2662,0.009892179
2661,0.009821963
2660,0.011183264
2659,0.010018426
2658,0.010516566
2657,0.010134753
2656,0.009669887
2655,0.011207245
2654,0.009752425
2653,0.0083424
2652,0.009119502
2651,0.010520224
2650,0.01036181
2649,0.010652948
2648,0.00925788
2647,0.009088942
2646,0.010579702
2645,0.008754271
2644,0.010384211
2643,0.010832453
2642,0.010150105
2641,0.01038928
2640,0.010573147
2639,0.010805162
2638,0.010283346
2637,0.010159521
2636,0.009151964
2635,0.010223893
2634,0.009685487
2633,0.010868437
2632,0.010849325
2631,0.011733143
2630,0.008820314
2629,0.008775779
2628,0.009261309
2627,0.00927422
2626,0.010558626
2625,0.011090717
2624,0.009161672
2623,0.009000264
2622,0.010579775
2621,0.011408234
2620,0.009575154
2619,0.010617714
2618,0.008922983
2617,0.011190877
2616,0.009619186
2615,0.009722976
2614,0.010091479
2613,0.009740189
2612,0.00938444
2611,0.009703606
2610,0.010357992
2609,0.010278776
