age_Gyr,M_Msun,T_eff_K,L_Lsun,log_g,R_Gcm,D,Li,J,H,Ks,Lprime,Mprime,clio_3.9,new_Lprime
0.001,0.01,2345.0,-2.7,3.57,18.99,1.0,1.0,9.246,8.813,8.324,7.696,7.834,7.733524476951325,7.850909350699994
0.001,0.015,2504.0,-2.42,3.58,22.9,1.0,1.0,8.595,8.168,7.726,7.153,7.24,7.201586903111018,7.299710671705447
0.001,0.02,2598.0,-2.25,3.59,26.11,1.0,1.0,8.171,7.739,7.324,6.785,6.853,6.840715636993843,6.9301296427033225
0.001,0.03,2710.0,-1.98,3.57,32.78,1.0,1.0,7.521,7.081,6.699,6.2,6.246,6.267320554672111,6.348487939176271
0.001,0.04,2779.0,-1.81,3.57,37.62,0.99,1.0,7.13,6.676,6.318,5.846,5.886,5.903936502240339,5.981465935217269
0.001,0.05,2824.0,-1.65,3.53,44.05,0.975,1.0,6.73,6.269,5.926,5.473,5.512,5.531628005015251,5.608760505681477
0.001,0.06,2864.0,-1.53,3.52,49.25,0.93,1.0,6.438,5.97,5.641,5.206,5.249,5.284097176600879,5.361629623287206
0.001,0.07,2897.0,-1.41,3.49,54.82,0.865,1.0,6.165,5.69,5.375,4.954,5.0,5.021813139070959,5.100069415074046
0.001,0.072,2896.0,-1.39,3.48,56.3,0.87,1.0,6.108,5.632,5.317,4.897,4.944,4.966752927559089,5.0452919243891206
0.001,0.075,2897.0,-1.36,3.47,58.18,0.865,1.0,6.034,5.557,5.243,4.825,4.872,4.896762847408755,4.975597697814726
0.001,0.08,2898.0,-1.31,3.45,61.53,0.865,1.0,5.911,5.431,5.12,4.704,4.752,4.775952220690295,4.855371868830408
0.001,0.09,2908.0,-1.23,3.42,67.28,0.805,1.0,5.704,5.218,4.912,4.503,4.553,4.565380860878139,4.64523328924863
0.001,0.1,2936.0,-1.17,3.43,70.29,0.409,1.0,5.576,5.077,4.78,4.385,4.437,4.454341322912004,4.5323915433752235
0.001,0.2,3226.0,-0.66,3.38,105.41,0.0083,1.0,4.421,3.758,3.53,3.271,3.352,3.374149265286383,3.4223977559928613
0.001,0.3,3428.0,-0.48,3.48,114.74,0.0,1.0,4.069,3.329,3.127,2.937,3.039,3.062259003642232,3.081257336726299
0.001,0.4,3634.0,-0.32,3.54,123.01,0.0,1.0,3.772,2.979,2.793,2.654,2.775,2.7977328467856237,2.78769213971013
0.001,0.5,3802.0,-0.18,3.59,131.2,0.0,1.0,3.502,2.706,2.538,2.432,2.568,2.613190789900573,2.58890498059953
0.001,0.6,3955.0,-0.07,3.62,138.26,0.0,1.0,3.269,2.5,2.346,2.259,2.397,2.438459490290453,2.4071020945002304
0.001,0.7,4078.0,0.04,3.63,147.06,0.0,1.0,3.035,2.299,2.158,2.081,2.216,2.2546828669380656,2.219518460999733
0.001,0.8,4192.0,0.13,3.65,154.36,0.0,1.0,2.841,2.141,2.011,1.94,2.068,2.12536961239193,2.088873791034191
0.001,0.9,4290.0,0.21,3.66,162.02,0.0,1.0,2.661,1.995,1.873,1.806,1.927,1.994123027792408,1.9572050401823744
0.001,1.0,4377.0,0.28,3.66,169.51,0.0,1.0,2.498,1.861,1.746,1.682,1.801,1.8542619921323125,1.8169129566172928
0.001,1.1,4456.0,0.35,3.67,176.77,0.0,1.0,2.35,1.739,1.631,1.569,1.683,1.7542019459940097,1.7167352703286962
0.001,1.2,4529.0,0.41,3.68,183.22,0.0,0.999,2.222,1.634,1.531,1.472,1.58,1.664957718351459,1.6273993798716075
0.001,1.3,4596.0,0.47,3.68,190.09,0.0,0.998,2.097,1.53,1.432,1.374,1.477,1.5608563674796085,1.523205934860348
0.001,1.4,4658.0,0.52,3.68,196.23,0.0,0.998,1.988,1.44,1.345,1.289,1.388,1.464314889099774,1.4266213021553913
0.002,0.01,2236.0,-2.96,3.75,15.44,1.0,1.0,9.906,9.45,8.935,8.256,8.47,8.278404493610601,8.40992721016492
0.002,0.015,2452.0,-2.65,3.77,18.4,1.0,1.0,9.152,8.719,8.268,7.677,7.804,7.717785721538175,7.822072156907169
0.002,0.02,2571.0,-2.46,3.78,20.93,1.0,1.0,8.695,8.256,7.837,7.289,7.38,7.335496059512749,7.426750922663375
0.002,0.03,2707.0,-2.14,3.73,27.12,0.925,1.0,7.942,7.496,7.114,6.613,6.668,6.669046782043708,6.749619817010162
0.002,0.04,2784.0,-1.9,3.67,33.72,0.78,1.0,7.365,6.908,6.55,6.079,6.122,6.150145820777173,6.226364771534117
