# !  MKO filter system                                                                                                                                                                                    



#   t (Gyr) =  0.001
#---------------------------------------------------------------------------------------------------------------------------

age_Gyr  M_Msun   Teff(K)   L/Ls  lg(g)   R(Gm)   D      Li            J             H            Ks        Lprime             M'          
0.001  0.0060  2004.   -3.13   3.50   1.59  1.0000  1.0000        10.448         9.837         9.183         8.366         8.405  
0.001  0.0070  2098.   -3.00   3.51   1.68  1.0000  1.0000        10.115         9.551         8.943         8.172         8.232  
0.001  0.0080  2159.   -2.89   3.52   1.80  1.0000  1.0000         9.830         9.296         8.715         7.979         8.041  
0.001  0.0090  2207.   -2.81   3.53   1.89  1.0000  1.0000         9.608         9.097         8.537         7.828         7.890  
0.001  0.0100  2251.   -2.73   3.53   1.98  1.0000  1.0000         9.401         8.915         8.376         7.687         7.743  
0.001  0.0120  2321.   -2.61   3.54   2.14  1.0000  1.0000         9.089         8.631         8.120         7.462         7.507  
0.001  0.0150  2400.   -2.46   3.54   2.40  1.0000  1.0000         8.723         8.264         7.773         7.143         7.169  
0.001  0.0200  2484.   -2.28   3.55   2.75  1.0000  1.0000         8.316         7.849         7.377         6.777         6.779  
0.001  0.0300  2598.   -2.17   3.69   2.84  0.9800  1.0000         8.076         7.598         7.154         6.605         6.610  
0.001  0.0400  2746.   -1.94   3.68   3.33  0.7350  1.0000         7.542         7.048         6.641         6.141         6.134  
0.001  0.0500  2768.   -1.64   3.49   4.64  0.9900  1.0000         6.800         6.307         5.902         5.407         5.391  
0.001  0.0600  2824.   -1.60   3.57   4.63  0.6050  1.0000         6.730         6.227         5.840         5.366         5.354  
0.001  0.0700  2853.   -1.48   3.53   5.24  0.5600  1.0000         6.423         5.914         5.536         5.073         5.060  
0.001  0.0720  2858.   -1.45   3.52   5.37  0.5550  1.0000         6.365         5.855         5.478         5.017         5.004  
0.001  0.0750  2833.   -1.39   3.46   5.89  0.9150  1.0000         6.194         5.689         5.305         4.836         4.821  
0.001  0.0800  2869.   -1.37   3.49   5.85  0.5100  1.0000         6.163         5.651         5.278         4.822         4.809  
0.001  0.0900  2867.   -1.29   3.46   6.45  0.4895  1.0000         5.950         5.436         5.064         4.609         4.596  
0.001  0.1000  2856.   -1.19   3.39   7.32  0.8000  1.0000         5.690         5.177         4.803         4.345         4.333  
0.001  0.1100  3023.   -1.08   3.43   7.35  0.3120  1.0000         5.475         4.907         4.586         4.201         4.205  
0.001  0.1300  3072.   -0.96   3.41   8.24  0.1975  1.0000         5.175         4.583         4.275         3.914         3.923  
0.001  0.1500  3120.   -0.85   3.39   9.01  0.1120  1.0000         4.931         4.316         4.021         3.682         3.699  
0.001  0.1750  3163.   -0.76   3.39   9.76  0.0363  1.0000         4.713         4.078         3.793         3.474         3.501  
0.001  0.2000  3193.   -0.70   3.40  10.26  0.0041  1.0000         4.573         3.927         3.648         3.342         3.374  
0.001  0.2500  3242.   -0.61   3.43  11.05  0.0000  1.0000         4.363         3.701         3.431         3.144         3.184  
0.001  0.3000  3281.   -0.53   3.46  11.81  0.0000  1.0000         4.178         3.504         3.240         2.968         3.016  
0.001  0.3500  3318.   -0.46   3.47  12.54  0.0000  1.0000         4.010         3.323         3.066         2.808         2.863  
0.001  0.4000  3357.   -0.39   3.48  13.23  0.0000  1.0000         3.858         3.157         2.907         2.664         2.726  
0.001  0.4500  3388.   -0.34   3.49  13.84  0.0000  1.0000         3.730         3.019         2.774         2.542         2.610  
0.001  0.5000  3427.   -0.28   3.50  14.41  0.0000  1.0000         3.607         2.884         2.646         2.429         2.504  
0.001  0.5700  3485.   -0.21   3.52  15.19  0.0000  1.0000         3.441         2.701         2.472         2.277         2.363  
0.001  0.6000  3507.   -0.17   3.52  15.59  0.0000  1.0000         3.366         2.619         2.394         2.207         2.297  
0.001  0.6200  3525.   -0.15   3.52  15.79  0.0000  1.0000         3.322         2.572         2.350         2.169         2.261  
0.001  0.7000  3593.   -0.08   3.53  16.48  0.0000  1.0000         3.172         2.409         2.198         2.036         2.138  
